class,TFRC,CD26,MIG6,GAPDH,INPP4B,FOXM1,NF2,ACVRL1,IGFBP2,X4EBP1
1,-1.2068,0.36475,0.047183,-1.2413,0.61,-0.91396,0.12421,-0.13213,0.80231,-0.37211
1,-0.02729,0.62265,0.95946,-2.7981,1.1364,-0.077997,-0.14169,-0.26998,-1.1463,-0.023647
1,-0.14402,-0.61487,-0.09621,-3.9608,1.2057,0.091829,-0.17913,0.041119,0.42684,1.3549
1,-0.14349,0.014828,-0.025337,-2.7789,0.55317,-0.3802,-0.032483,0.03987,-0.33895,-0.60447
1,-0.54105,-0.1093,0.28351,-2.0609,2.1659,-0.4898,-0.19866,-0.084118,-0.11886,-0.10983
1,-0.52481,-0.075124,-0.01444,-3.4453,0.67637,-0.97213,0.099006,-0.1958,-1.0108,-0.75056
1,-0.59772,-0.202,0.29786,-1.6895,0.89765,-0.3203,-0.26731,-0.13233,1.648,-0.36057
1,-0.35161,-0.19807,0.3735,0.075111,2.2326,-0.86072,0.026808,-0.25522,1.0472,-0.63832
1,-0.12858,-0.19709,0.086591,-2.3571,-0.29158,-0.27328,0.45095,-0.11767,-1.1179,-0.56213
1,0.18568,-0.39925,-0.14211,-3.6565,-0.40226,-0.37658,-0.23205,-0.35644,-0.91363,-0.13093
1,-0.3838,0.49623,0.12598,-2.7918,0.33912,-0.14727,-0.33386,0.0039295,-0.41806,-0.062678
1,-0.51505,0.1255,-0.12662,-2.9129,0.86849,-0.53367,-0.14369,-0.16544,-0.86424,0.11782
1,-0.84255,0.097364,-0.00043273,-2.6186,1.1527,-0.43143,-0.46612,-0.088617,-0.91595,-0.40648
1,-0.87679,-0.36561,-0.037206,-3.0857,1.5228,-0.81365,0.63127,-0.14688,0.309,-0.072973
1,0.63101,-0.069319,-0.11407,-4.9143,0.028439,-0.23747,-0.2586,-0.13226,-0.42272,-0.55785
1,-0.047654,0.071083,0.85124,-0.663,0.59079,0.16441,-0.41248,-0.21785,-1.0261,0.090645
1,0.24655,0.43404,0.81321,-1.631,1.3036,-0.28307,0.056247,-0.23403,-0.98967,0.24273
1,2.0988,-0.24058,0.32091,-2.2141,-0.70354,0.67878,-0.0045481,-0.10634,-0.089699,0.39674
1,-0.69911,0.097364,0.23235,-2.2842,-1.0671,-0.72677,-0.037366,-0.2271,-0.10713,-0.11839
1,-0.76226,-0.11766,-0.3034,-2.6661,-0.12824,-0.73449,0.26301,-0.21343,0.45304,-0.17365
1,-0.52035,0.21154,0.17442,-2.3332,0.75136,-0.57422,-0.2704,-0.32288,-0.68094,-0.20716
1,-1.2299,0.86412,0.13175,-2.9301,-0.51965,-0.79316,-0.18684,-0.047549,-0.46555,-1.3551
1,-0.51913,0.13506,0.26235,-2.1487,1.1746,-0.67216,0.18028,-0.13882,-1.0517,-0.32346
1,-0.53225,0.093058,0.049448,-3.1122,2.0004,-0.96605,-0.70989,0.014581,-1.2857,-0.15503
1,-0.63936,-0.26333,0.38046,-1.5662,0.53127,-0.39976,-0.20547,-0.051764,-0.58494,-0.12063
1,-0.54163,0.48213,0.0466,-3.9017,0.23688,-0.63966,-0.37288,0.018731,-0.96738,-0.52045
1,-0.32181,-0.058629,0.14029,-2.3996,1.3024,-0.98825,-0.29428,-0.12439,-1.0144,-0.12591
1,-0.48577,0.57028,0.32176,-2.5752,0.47484,-0.76492,0.02378,-0.20374,-0.56805,-0.44353
1,-0.2021,-0.085211,-0.012709,-1.5222,-0.065897,-0.5278,0.20071,-0.19363,-0.63307,-0.33071
1,0.13803,0.1048,0.7065,-2.6835,1.3245,-0.68146,-0.069495,-0.11569,-1.1774,-0.5692
1,-0.75382,0.13851,0.13238,-3.4975,0.88272,-0.45551,-0.31998,-0.12086,-1.0145,-0.25723
1,-0.19151,-0.17621,0.15657,-1.6845,0.085542,-0.15743,-0.36464,-0.097974,-0.46521,-0.094098
1,-0.54353,-0.0017583,0.26324,-1.4861,-0.28199,-0.92109,-0.19418,-0.12864,1.6804,-0.95875
1,-0.66834,-0.13756,0.023229,-3.7528,0.27064,0.0096428,-0.052846,-0.11799,0.3389,-1.0002
1,-0.51548,-0.17732,-0.074673,-2.6605,0.78525,-0.83603,-0.25002,-0.15644,-0.53708,-0.038637
1,1.4248,-0.18001,0.14518,-1.0696,-0.56616,0.19224,-0.44605,-0.17573,2.4198,1.9068
1,-0.026775,-0.46308,-0.18118,-3.5204,-0.025811,-0.16084,-0.3219,-0.20256,1.9113,-0.16854
1,-0.62304,0.51999,0.25975,-3.5592,1.715,-0.38618,-0.12176,-0.14915,-1.0745,-0.035272
1,-0.40288,-0.10136,0.11318,-3.0525,1.3106,-0.60127,-0.44877,-0.22084,-0.40927,-0.55515
1,-0.26823,-0.10077,0.33848,-1.7705,2.2581,-0.39579,-0.27353,-0.04691,-1.0404,-0.35758
1,-0.15335,-0.34333,0.38689,-2.6101,-0.48831,-0.29978,0.30443,-0.031035,-0.69619,-0.34065
