class,TFRC,CD26,MIG6,PI3KP110ALPHA,GAPDH,INPP4B,GSK3ALPHABETA,BRD4,NDRG1_pT346,FOXM1,NF2,HER3,ACVRL1,DUSP4,RAB25,JNK_pT183Y185,IGFBP2,PKCDELTA_pS664,X4EBP1
1,-0.8899,-0.4158,0.13556,-0.2598,-2.8907,0.16385,-0.27871,0.23162,0.26737,-0.49159,0.058986,-0.0053429,-0.26662,-0.63093,-0.50325,-0.085888,-0.95639,0.09443,-0.47788
1,-0.61889,0.3919,0.2091,-0.22559,-2.0875,0.19388,-0.38858,-0.6691,0.61591,-0.89768,-0.035427,0.13782,-0.11427,-0.56102,0.29419,-0.25938,-0.66387,0.16098,-0.55744
1,-0.0023392,-0.0034044,0.57207,-0.3945,-3.3588,1.1936,-0.027755,-0.41184,-0.60529,-0.36513,-0.49489,0.19627,-0.091943,-0.11268,0.15582,-0.12085,-0.69807,-0.48834,0.043963
1,0.1871,0.23931,0.63073,-0.118,-0.16001,1.3358,-0.030296,-0.057868,0.3036,-0.33993,0.42134,0.11912,-0.12016,-0.70494,0.07102,0.1003,-1.7888,0.13227,0.37838
1,-0.56281,-0.007563,0.53466,-0.38234,-2.8189,3.1997,-0.12923,-0.29127,2.0583,-0.86537,0.70047,0.45245,-0.23029,-0.70739,-0.19874,-0.13272,-0.46773,-0.034876,-0.39264
1,-1.1096,-0.0038784,-0.045663,-0.5524,-4.3926,-0.26348,-0.64081,-0.84436,1.485,-0.5514,-0.42532,-0.0073192,0.0090162,0.53083,-0.2741,0.1531,0.92289,-0.18461,-0.33423
1,1.0416,-0.42868,-0.083754,-0.52966,0.24694,1.3475,-0.062354,0.1555,-0.36623,0.17568,-0.089484,0.29232,-0.24992,-0.3745,-0.045547,-0.36412,-0.35978,-0.23182,0.33469
1,-0.45151,-0.1842,-0.065833,-0.4174,-1.5726,0.36815,-0.19596,-0.48059,-0.1872,-0.73422,0.095064,1.1314,-0.094947,0.022865,0.33602,0.054577,1.9213,0.11378,-0.46865
1,-0.81518,0.093105,-0.11227,-0.55561,-3.7654,0.1989,-0.18775,-1.2181,2.2536,-0.40994,-0.51689,0.42332,-0.15905,0.51553,-0.21991,0.014649,0.96302,-0.099361,-0.8021
1,-1.1249,-0.25121,0.14979,-0.25116,-3.4002,-0.48416,-0.10078,-0.6195,0.74611,-0.89389,-0.34382,0.39014,-0.20749,-0.1413,1.4268,0.025308,-0.043086,0.021674,-0.19649
1,-0.51693,-0.43822,0.041791,-0.37499,-0.98782,1.1267,-0.094131,-0.16526,0.62823,-0.17497,-0.24083,0.3879,-0.21336,2.1784,-0.087069,-0.12938,1.4038,-0.19598,-0.1908
1,-0.47348,-0.22056,-0.034605,-0.50722,-3.1168,0.27983,-0.011592,-0.44181,1.5292,-0.43787,-0.10599,0.8011,-0.065239,-1.1935,-0.53878,0.44935,-0.15651,-0.23505,-1.1042
1,-0.83043,-0.30009,-0.012873,-0.012592,-2.5064,0.918,-0.20692,-0.55105,0.72877,-0.68443,-0.048743,-0.27796,-0.22128,-0.39206,-0.62664,-0.26354,0.17124,-0.0079744,-0.25533
1,-0.2731,-0.17092,1.2508,-0.77775,-1.7129,-0.12406,-0.25247,-0.08252,2.3262,0.14616,-0.42172,0.076538,-0.23141,0.6261,-0.8919,-0.034558,0.92016,-0.2462,-0.32424
1,0.4139,-0.28012,-0.083301,-0.12417,-2.1104,2.6767,0.14157,0.15757,0.4713,-0.52176,0.0028227,0.39752,-0.0050934,0.87468,1.2019,-0.040315,0.023613,0.033778,-0.55091
1,-0.34045,-0.15341,0.074159,-0.10337,-1.3755,-0.41895,-0.07921,0.0085986,2.146,-0.49351,-0.39389,0.89584,-0.18488,-0.18363,-0.019889,0.036767,2.1323,0.066775,-0.40257
1,-1.0854,-0.19785,0.17782,-0.61342,-4.6103,-0.43478,-0.8511,-0.71783,1.8548,-0.4959,-0.38274,0.15073,0.029199,-0.11023,-0.15868,0.23707,-0.98462,-0.080456,-0.21819
1,-0.47562,0.3895,0.13125,-0.11714,-2.5561,0.47909,-0.047455,0.01488,2.1003,-0.43928,-0.053888,0.39787,0.027883,-0.58822,0.47423,-0.15789,-0.76197,0.029596,-0.4809
1,-1.808,0.51337,-0.0054322,-0.204,-4.2975,-0.042793,-0.16127,-1.0234,0.54582,-0.8208,-0.26367,0.53156,-0.21732,-0.656,-0.36297,0.26536,-0.61083,0.040615,-0.59134
1,-0.7347,0.66181,0.5027,0.22237,-2.4762,-0.020165,-0.17788,0.058692,1.4143,-0.39465,0.62106,0.40663,-0.1606,-0.52167,0.12956,-0.19853,0.16849,0.1055,-0.72523
1,-0.15713,-0.060554,-0.052539,-0.4814,-1.9069,0.67673,-0.19752,-0.013395,2.4737,-1.0098,0.0040737,0.3773,-0.2549,0.65068,1.6057,-0.10736,-1.087,-0.17938,-0.4279
1,-0.41267,-0.1601,0.037379,-0.22963,-1.0302,1.4321,-0.062542,-0.039302,1.2835,0.2966,0.37135,-0.057687,-0.29172,-0.3011,-0.31579,-0.19838,-1.4671,0.15091,0.038587
1,-0.19963,-0.038266,-0.13932,-0.070726,-3.2467,1.2404,-0.28492,-0.85193,0.62549,-0.076427,-0.089744,0.29209,0.046993,-0.33862,-0.0041324,0.28475,-0.52987,-0.042643,-0.45861
1,-0.70081,0.54606,0.15676,-0.098142,-1.923,0.63885,-0.22336,-0.58824,1.1625,-0.5772,0.13069,0.019056,0.12254,-0.22318,0.028714,0.24319,-0.47879,0.21273,-0.70024
1,0.053992,-0.20515,0.29334,-0.25101,-1.5357,0.049672,0.098181,-0.40093,1.8617,-0.33839,0.12244,-0.29355,-0.050434,-0.38091,0.63526,0.038097,0.42197,-0.43233,-0.17918
1,0.80506,0.063087,0.10733,-0.62039,-0.93914,-0.52072,-0.22453,-0.46289,0.31562,-0.13635,-0.85517,-0.22856,-0.071894,1.6741,1.2281,0.080861,-0.60289,-0.23392,0.92095
